Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,No focal subject,0.0,s1_Introduced,Not defined,POINT,0.000,0.000,NA,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0,0,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,No focal subject,0.0,agent_Introduced,Not defined,POINT,126.500,126.500,NA,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1265,1265,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,126.900,134.500,7.600,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1269,1345,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,127.100,135.300,8.200,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1271,1353,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,135.400,145.900,10.500,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1354,1459,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,142.800,145.700,2.900,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1428,1457,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Approach,Not defined,STATE,147.500,151.399,3.899,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1475,NA,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Novel,84.386,Investigation,Not defined,STATE,150.800,152.100,1.300,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1508,1521,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Investigation,Not defined,STATE,151.400,152.200,0.800,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1514,1522,,,,
oxy_1-250226-101914,2025-03-20 23:11:23.438,,Media file,player #1:C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,0.0,321.800,321.900,10.000,Subject,88.893,Approach,Not defined,STATE,156.100,157.999,1.899,C:/Users/niuni/Downloads/2_26_25_Oxytocin_Pilot-250226-103221/2_26_25_Oxytocin_Pilot-250226-103221/oxy_1-250226-101914/2_22_25_Oxytocin_Pilot-250222-082954_oxy_1-250226-101914_Cam1.avi,1561,NA,,,,
